author,publish_year,title,abstract
S. C. Biswas,2004,Access versus preservation of library collections in a hybrid environment: Is digitization the right solution?,"Historically, library collections have served four basic purposes: dispensing, bibliographic, preservation and symbolic. All these purposes change in character with digital and hybrid (i.e., both print and digital) collections. Highlights the situations that a library manager faces in his/her endeavour to provide access to and preservation of library collections in a hybrid environment consisting of both print and digital documents, especially when he/she has to make a trade-off between the two. Digitization is often proposed as an alternative method of preservation of print and other media, because it is excellent for access, But, notwithstanding many advances in relevant technologies, digitisation is poor for preservation due to technical, economic, and legal constraints. Concludes that a hybrid library, containing digital documents and pointers to non-digital documents, is the most feasible digital library at present times."
S. Chapman; S. L. Abrams,2004,"Steering resources to safe-harbor repositories: The need for reliable, accurate and affordable ingest services","With the emergence of centralized, large-scale digital archives, geography becomes a key factor in the preservation of cultural heritage materials. Objects inside"" archives will be actively monitored and managed, whereas those ""outside"" will be at greater risk of loss and obsolescence. Developing ingest systems and services to process, package and transport objects into managed safe-harbor repositories is an immediate need.1 Standards, frameworks, and business models for digital archiving must also evolve in due time to support these services. Ingest solutions must address a range of challenges: legal, technical, and financial. Software development, however, is a logical starting point, since tools that automate pre-archiving tasks meet technical requirements for viability and economic ones for affordability. The key tasks to automate are production of preservation metadata, transformation and validation of formats, and creation of repository-compliant transfer packages. The Harvard University Library (HUL) Office for Information Systems (OIS) has developed two applications to promote use of the HUL Digital Repository Service. JHOVE, developed with JSTOR, is a format-validation program; Dmart is a batch deposit tool for audio preservation packages. In Harvard's experience, the target user for such applications has typically been a professional depositing agent with technical expertise, who consults as needed with curatorial experts. With greater understanding of ingest requirements, and the profiles of persons or agencies likely to perform these services, it is hoped that industry will develop and support tools for the digital archiving market."""
S. Gopalakrishnan; P. Rajendran,2004,Digital preservation of video programmes: An approach,"Video programs, available in VHS (Video Home Services) are analogue format. Over a period of time, these videotapes are spoiled due to repeated, viewing, dust, fungus etc., during the course of time the quality of programs gets distortion. The prime objective of this paper is to preserve the important and rare collections of video programs for future use. To safe guard, these programme are to be converted into other reliable format. The format, thus opted for conversion, may be latest and the life of the source will be longer than the previous format, The most reliable format is digital format and stored in the CD or DVD and the same can be played in CD player or computer."
S. Kriegsman; L. Mandell,2004,Digital archiving without preservation is just storage: Education is the first step to achieving preservation goals,"When imaging science and technology comes up for discussion the topic of digital preservation should be right in the mix. Unfortunately digital preservation is not something enough people have considered as an aspect of emerging imaging technology. Not all data, or digital images in this particular instance, should be saved far into the future but those worth maintaining need more consideration than they are getting now. The problems of digital preservation will have an impact on the development of imaging science and technology, and learning about digital preservation is the first step in being able to achieve preservation goals. There are four primary communities who will be most affected by digital preservation: industry, digital labs, home consumers and collection managers. Acknowledging the relationships and points of interaction between the communities will facilitate preservation activities. There are basic concepts that can be put into practice now to help maintain digital images and foster ongoing research. All four communities must recognize the pivotal roll education plays in long term digital preservation."
S. L. Abrams,2004,The role of format in digital preservation,"The concept of representation format permeates all technical aspects of digital repository architecture and is, therefore, the foundation of many, if not all, digital preservation activities. Digital formats need to be understood both as general classes of encodings and in the specific instances of digital objects. The Digital Library Foundation (DLF) has sponsored an initial investigation into the creation of a global digital format registry (GDRF) to maintain format representation information. Using such information, ancillary tools and services can be created for additional repository and preservation-related functions such as format-specific object identification, validation, and characterization. JSTOR and the Harvard University Library are cooperating on the development of an extensible format validation framework called JHOVE. This paper introduces both the GDFR and JHOVE projects. © 2004, . All rights reserved."
S. L. Abrams; D. Seaman,2004,Global digital format registry,"Detailed knowledge of digital representation formats is necessary to interpret properly the full information content of otherwise opaque content streams. The Digital Library Federation (DLF) has sponsored preliminary investigations towards establishing a Global Digital Format Registry (GDFR) that will provide persistent, unambiguous bindings between public identifiers for digital formats and the significant syntactic and semantic properties of those formats. These properties are an important component of the representation information necessary for effective digital preservation. The existence of a GDFR should prove to be of great utility to archives, libraries, digital repositories, and other organizations and individuals interested in the long-term viability of digital information."
S. L. Abrams; S. P. Levenson,2004,PDF/A: An electronic document file format for long-term preservation,"PDF has emerged as one of the predominant formats for creating, capturing, storing, and delivering electronic documents. As it is increasingly applied to content deserving or requiring long-term retention, questions arise as to what technical mechanisms and best practices can ensure effective preservation. Long-term preservation entails not merely maintaining the fixity of the byte stream, but also ensuring continuing access to, and interpretation of, the full information content of archived PDF documents. PDF supports many sophisticated features that tend to subvert efforts towards effective preservation. To address these concerns the International Organization for Standardization (ISO) has established a joint working group to develop a standard to specify how to use PDF for long-term preservation of electronic documents. ISO 19005-1, known familiarly as PDF/A, defines a constrained subset of the file format and a set of functional requirements for PDF/A readers. This paper provides a snapshot of the evolving PDF/A standard and addresses its potential impact for digital preservation."
S. Mao; G. R. Thoma,2004,Bayesian learning of 2D document layout models for preservation metadata extraction,"Digital preservation addresses the storage, maintainance, accessibility, and technical integrity of digital materials over the long term. Preservation metadata is the information required to perform these tasks. Given the volume of these journals and high labor cost of manual metadata entry, automated metadata extraction is necessary. Document layout analysis is a process of partitioning document images into hierarchically structured and labeled homogeneous physical regions. Descriptive metadata such as bibliographic information can then be extracted from these segmented and labeled regions using OCR. While numerous algorithms have been proposed for document layout analysis, most of them require manually specified rules or models. In this paper, we first define the hierarchical 2D layout model of document pages as a set of attributed hidden semi-Markov Models (HSMM). Each attributed HSMM represents the projection profile of the character bounding boxes in a physical region on either the X or Y axis. We then describe a Bayesian-based method to leam 2D layout models from the unstructured and labeled physical regions in a set of training pages. We compare the zoning and labeling performance of the learned HSMM-based model, a learned baseline model, and two rule-based systems on 69 test pages and show that the HSMM-based model has the best overall performance, and comparable or better performance for individual fields."
S. Mao; J. W. Kim; G. R. Thoma,2004,A Dynamic Feature Generation System for Automated Metadata Extraction in Preservation of Digital Materials,"Obsolescence in storage media and the hardware and software for access and use can render old electronic files inaccessible and unusable. Therefore, the long-term preservation of digital materials has become an active area of research. At the U.S. National Library of Medicine (NLM), we are investigating the preservation of scanned and online medical journal articles, though other data types (e.g., video sequences) are also of interest. Metadata of different types have been proposed to save the information needed to preserve digital materials. Given the ever-increasing volume of medical journals and high labor cost of manual data entry, automated metadata extraction is crucial. A system has been developed at NLM to automatically generate descriptive metadata that includes title, author, affiliation, and abstract from scanned medical journals. A module called ZoneMatch is used to generate geometric and contextual features from a set of issues of each journal. A rule-based labeling module (called ZoneCzar) then uses these features to perform labeling independent of journal layout styles. However, if there are significant style variations among the issues of a same journal, the features generated from one set of journal issues may not be very useful to label a different set. In this paper, we describe a dynamic feature updating system in which the features used for labeling a current journal issue are generated from previous issues with similar layout style. This new system can adapt to possible style variations among different issues of the same journal. Experimental results presented show that the new system delivers improved labeling performance accuracy."
S. Ross,2004,ERPANET: a European platform for enabling digital preservation,"Increasing amounts of Europe's cultural and scientific heritage is being created or represented in digital form. The preservation and reuse of these digital assets forms both the cornerstone of future economic growth and development, and the foundation for the future of memory. Addressing the challenges posed by digital preservation poses a major obstacle to the creation of Europe as a dynamic and economically successful knowledge-based society. Electronic Resource Preservation and Network (ERPANET), the European Commission's major activity under the fifth framework programme of funding, aims to help public and private sector institutions across Europe to improve their knowledge about digital curation and preservation and to enhance their practices. © 2004, . All rights reserved."
S. Thomas; D. Yakimischak,2004,High resolution image compositing as a solution for long-term preservation,"JSTOR, a non-profit archive of academic journals, selected a 600 DPI bitonal TIFF G4 image format as its long-term digital preservation standard. This provided for very clean and crisp text and line-art. Accurate imaging of text is important because we OCR the textual material to provide access to the journals via our search engine. Because of the significance of images in some of the new journals we were considering adding to the JSTOR archive, we were faced with the need to include high resolution grayscale and color images. Rather than move to full-page color imaging, JSTOR decided to retain the bitonal TIFF images as its preservation standard for text and line-art content, and to scan grayscale and color images separately as 8- or 24-bit TIFF files. At delivery time, we then composite (or paste"") the deeper images over the bitonal scans, in order to deliver the best combination of text and image resolutions. We arrived at this decision by considering the intended use of each of the various page components and chose the storage and delivery formats that would best serve those uses. This article discusses the background, problem description, solutions, implementation and experience to date from this recent JSTOR development."""
T. DiLauro,2004,Choosing the components of a digital infrastructure,"This paper is based on a talk of the same name given at the IMLS-sponsored Web-Wise 2004 conference. The purpose of this paper - as with the talk before it - is to highlight some issues and help inform the choices associated with developing digital environments within a single institution or among many. While the bulk of this discussion focuses on digital repositories as a key component of the digital infrastructure, persistent identifiers, assumptions surrounding digital preservation, and integration of digital library services are also discussed."
T. Sato; S. Ikeda; M. Kanbara; A. Iketani; N. Nakajima; N. Yokoya; K. Yamada,2004,High-resolution video mosaicing for documents and photos by estimating camera motion,"Recently, document and photograph digitization from a paper is very important for digital archiving and personal data transmission through the internet. To realize easy and high quality digitization of documents and photographs, we propose a novel digitization method that uses a movie captured by a hand-held camera. In our method, first, 6-DOF(Degree Of Freedom) position and posture parameters of the mobile camera are estimated in each frame by tracking image features automatically. Next, re-appearing feature points in the image sequence are detected and stitched for minimizing accumulated estimation errors. Finally, all the images are merged as a high-resolution mosaic image using the optimized parameters. Experiments have successfully demonstrated the feasibility of the proposed method. Our prototype system can acquire initial estimates of extrinsic camera parameters in real-time with capturing images."
T. Shiratori; A. Nakazawa; K. Ikeuchi,2004,Detecting dance motion structure through music analysis,"In these days, many important intangible cultural properties of the world are being lost because of the lack of successive performers. Digital archiving technology is one of the effective solutions for this issue, and we have started our digital archiving project of cultural properties including these intangible ones. For these human motion archives, the method of automatic motion structure analysis is vital for a variety of purposes. We believe that the dance motion consists of primitive motions"" and that motion analysis is necessary to detect these components. Particularly for dance motions, we think these primitives must be synchronized to the musical rhythm. In this paper, we introduce musical information for motion structure analysis. This method automatically detects the musical rhythm and segments the original motion, and classifies them as to the primitive motions. The experimental results confirm that our motion analysis yielded the primitive motions in accordance to the musical rhythm."""
T. Z. Thrier; S. Heuscher,2004,Le projet arelda des archives fédérates suisses quelques pièces dans une mosaïque immense,"The goal of the Swiss Federal Archives' ARELDA project is to find long-term solutions for the archiving of digital records created by the Swiss Federal administration. It is one of the key e-government projects, designed to improve the cooperation between citizens and the administration using new information technologies. The article describes some aspects of the problem of long-term archiving of electronic records, more specifically, the audio recordings of the Swiss parliament's debates. The article also presents a collection of tools to archive relational databases as well as some principles for the appraisal of information systems; it should be understood as an interim report of the results achieved by the project. © Lavoisier. Tous droits réservés pour tous pays."
U. Ravindranathan; R. Shen; M. A. Gonçalves; W. Fan; E. A. Fox; J. W. Flanagan,2004,Prototyping digital libraries handling heterogeneous data sources - The ETANA-DL case study,"Information systems used in archaeology have several needs: interoperability among heterogeneous systems, making information available without significant delay, long-term preservation of data, and providing a suite of services to users. In this paper, we show how digital library techniques can be employed to provide solutions to three of these problems. We show this by describing a prototype for an archaeological Digital Library (ETANA-DL). First, ETANA-DL applies and extends the metadata harvesting approach to address some of the needs - interoperability, rapid access to data, and data preservation. Second, we show that availability of a pool of components that implement common DL services has helped in rapidly creating the prototype, which was subsequently used for requirements elicitation. However, understanding complex archaeological information systems is a difficult task. Third, therefore, we describe our efforts to model these systems using the 5S framework, and show how the partially developed model has been used to implement complex services helping users carry out key tasks with the integrated data. © Springer-Verlag Berlin Heidelberg 2004."
W. C. Hobbs,2004,Taking digital imaging to the next level: challenges and opportunities,"New medical imaging technology, such as multi-detector computed tomography (CT) scanners and positron emission tomography (PET) scanners, are creating new possibilities for non-invasive diagnosis that are leading providers to invest heavily in these new technologies. The volume of data produced by such technology is so large that it cannot be read"" using traditional film-based methods, and once in digital form, it creates a massive data integration and archiving challenge. Despite the benefits of digital imaging and archiving, there are several key challenges that healthcare organizations should consider in planning, selecting, and implementing the information technology (IT) infrastructure to support digital imaging. Decisions about storage and image distribution are essentially questions of ""where"" and ""how fast."" When planning the digital archiving infrastructure, organizations should think about where they want to store and distribute their images. This is similar to decisions that organizations have to make in regard to physical film storage and distribution, except the portability of images is even greater in a digital environment. The principle of ""network effects"" seems like a simple concept, yet the effect is not always considered when implementing a technology plan. To fully realize the benefits of digital imaging, the radiology department must integrate the archiving solutions throughout the department and, ultimately, with applications across other departments and enterprises. Medical institutions can derive a number of benefits from implementing digital imaging and archiving solutions like PACS. Hospitals and imaging centers can use the transition from film-based imaging as a foundational opportunity to reduce costs, increase competitive advantage, attract talent, and improve service to patients. The key factors in achieving these goals include attention to the means of data storage, distribution and protection."""
W. M. Wood; J. E. Nichols,2004,"Optical thin-film structures for color analog, and digital, long-term information archiving","We have demonstrated the use of selective, reproducible, milling of sub-micron feature sizes by focused ion beam of optical thin film structures made from robust materials for color and B&W, analog and digital image and text archiving. This method has also been used to create diffractive structures with controlled, variable diffraction efficiencies. Modeling of the material optical properties, both pre- and post- milling, has enabled accurate prediction of material reflective, transmissive, and diffractive properties, and has effectively shown that ion implantation effects, such as compositional changes and ion deposition, are of second order importance to the optical behaviour of the thin film system."
W. Smith,2004,Wine on the web: Australian wine information on the web and its prospects for long-term preservation and access,"Online information produced by Australian wine makers over the past eight years has been examined to determine what has been created and what is being preserved. The longevity of a number of Australian winery websites is examined, and sites in the digital archives of the National Library of Australia's PANDORA project and the United States-based Internet Archive are compared and contrasted. Implications for future research if current preservation strategies remain unchanged are considered. © 2004, Taylor & Francis Group, LLC. All rights reserved."
W. Van Drimmelen,2004,Universal access through time: Archiving strategies for digital publications,"The Royal Library in The Hague has been a leader in developing and exploring approaches to long-term preservation of digital objects. Libri invited its distinguished Board Member, Wim van Drimmlen, to share some of his views on this important issue with our readers. What follows is based on a presentation made in May 2003 at the STM Conference in Amsterdam. We hope its appearance will encourage more papers on this important topic. Copyright © Saur 2004."
Y. Zhao; A. R. Jiang,2004,Building a distributed heterogeneous CALIS-ETD digital library,"CALIS Electronic Thesis and Dissertation Digital Library (CALIS-ETD-DL) is a distributed heterogeneous digital library system funded by CALIS with goals to share the ETD resource among the universities in China and speed up knowledge spreading. It is a prototype system based on the advanced digital library technology and open standards. This paper focuses on the following issues: 1) architecture of CALIS-ETD-DL and its implementation that is centralized metadata repository and distributed digital object; 2) interoperability protocol and standard interface used in CALIS-ETD-DL including international widely used protocol such as OAI, METS, OPENURL, Web Service etc. and self-defined protocol such as ODL-MAP protocol etc; 3) ETD Digital Right Management System for ETD copyright protection; 4) CALIS-ETD metadata specification for describing and administrating ETD resource; 5) ETD persistent identifier and long-term preservation format of ETD. Conclusions are drawn and future works of CALIS-ETD-DL are introduced in the end."
,2004,Digital archive strategies and solutions for radio broadcasting,"In radio broadcasting, the need for a digital archive solution is now more important than ever. Such a solution requires a qualified integration concept to ensure that everything works together. Generally, digital archive projects are expensive. Nevertheless, a close look at the three elements, including, equipment, time to transfer the legacy archive, and cost of ownership can lessen the burden. In all cases, the possibility for human control should be kept intact. Overall, the digitization of radio achives should be seriously considered because such project can lead to increased production flexibility and business opportunities."
A. Boyko; S. C. I. Soc Imaging; Technol,2005,Characterizing web archive content,"The Library of Congress has been collecting web content since 2000, first through its MINERVA prcject(6) and, since 2004, as part of a broader Internet capture project. In addition to providing access to some collected content, we have begun to develop tools and techniques to better understand and preserve what we are collecting. When compared with other digital collections, content from the Web has some unique characteristics, such as naming issues and the varying types of relationships between items; nevertheless, when considered at the level of individual items, existing digital preservation approaches are entirely applicable.In this article, we describe some initial results from examining some selected content from this perspective, including the tools used in our analysis of the Library's Web collections, the approaches taken, and directions for further analysis. We intend that this information will be useful for guiding future web harvest and preservation efforts both within and outside the Library. Our goals include:center dot Identifying and measuring the content types in the collection;center dot Assessing the variation in file types and validity of wild"" Internet content; andcenter dot Determining typical attributes of various file types, to generate predictors for future web harvests.We describe web collections as a specific case of a collection of heterogeneous digital content, focusing on the content as received. We will not address issues relating to acquiring the content, such as retrieval problems and link detection during the web crawl, as these issues have been addressed in detail elsewhere 2,8 and are ultimately orthogonal to preservation issues."""
A. Cunningham; M. Phillips,2005,Accountability and accessibility: ensuring the evidence of e-governance in Australia,"Purpose - To review the challenges associated with ensuring the capture and preservation of and long-term access to government records and publications in the digital age and to describe how libraries and archives in Australia are responding to the challenge.Design/methodology/approach - Literature- and case-study-based conceptual analysis of what makes government online information so vulnerable and initiatives at the National Library of Australia and the National Archives of Australia.Findings - Democracy, governance, consultation and participation all depend on the availability of authentic and reliable information Government agencies as well as educational and research institutions are producing increasingly large volumes of information in digital formats only. While Australia has done more than most countries to date to address the need to identify, collect, store and preserve government publications and public records in digital formats, large amounts of information are still at risk of loss.Research limitations/implications - Focuses on circumstances and initiatives in the Australian Government.Practical implications - Librarians and archivists need to become more proactive in influencing the behaviour of government agencies to ensure that important evidence of democratic governance is created and managed in ways that facilitate their accessibility and long-term preservation.Originality/value - Emphasises the vital role that information management agencies such as libraries and archives have to play in supporting transparent and accountable governance in the digital age, and explores innovative strategies for ensuring the long-term preservation of this important documentary heritage material for the use of future generations."
A. J. Blazic; P. Sylvester,2005,Provision of long-term archiving service for digitally signed documents using an archive interaction protocol,"This paper presents the basic design considerations and implementation of a trusted long-term preservation service for electronic records based on a protocol for archival service interaction. The main focus of the research is on e-government and e-business enabled applications and the preservation of electronic heritage in complex and open system environments including PKI enabled infrastructures for digitally signing documents. The operational solution must ensure an easy to use and reliable digital objects archiving service. The archival service is being developed as an open, scalable, modular and extensible service using Internet technologies. It uses international standards under development by the IETF and ETSI in the field of digital signatures and trusted long term archiving services and has provided feedback to the standardization activities. © Springer-Verlag Berlin Heidelberg 2005."
A. Japzon; N. Anderson,2005,Wallops Island Balloon technology: Can't see the repository for the documents,"Since the Wallop's Balloon Technology documents repository began approximately 9 years ago, the Goddard Library has become increasingly involved in developing digital archiving capabilities. The Library developed the Digital Archiving System (DAS) which is a prototype infrastructure for creating a combined metadata repository that allows metadata for heterogeneous digital objects to be searched with a single search mechanism and presented in a single results page. With this, the opportunity has been presented to expand the usability of the print repository. The Balloon Technology documents relate only to the specific subject of construction of scientific balloons and at the current time number over 4,300. The documents exist primarily in paper format and are organized according to the accession number. The project is currently at a crossroads where decisions will have to be made regarding the reorganization of the database from many different perspectives. An assessment of the project was conducted to determine future direction. An assessment survey was created using the Knowledge Management Assessment Tool (KMAT) from the American Productivity & Quality Center and from the recommendations that The Scholarly Publishing & Academic Resources Coalition (SPARC) put forth in The Case for Institutional Repositories: A SPARC Position Paper. Survey participants agreed to move forward with project by scanning the documents, mapping existing database records to the current metaclata elements, seeking copyright permissions, and forming a joint committee of balloon scientists and librarians. All have agreed on the importance of digitizing this collection to the balloon science community. Further, it was agreed that once complete, the addition of the balloon documents to the DAS (an institutional repository) could serve as a model for other NASA and/or government projects trying to organize, collect and preserve specialized knowledge that manifests largely in grey literature."""
A. Leung; E. Itakura,2005,Unified still and video archiving and distribution with JPEG 2000 & Arch-BEAM,"This paper discusses JPEG 2000 as a unified compression standard for archiving and distribution of still images, video, and real-time video. JPEG 2000 has many features for archiving and distribution such as: encode once; decode many"" flexibility, optimized network transfer, and extensibility to other imaging applications such as document imaging, intra-frame video, low-delay real-time video, and more. We will discuss a case study in document imaging and low-delay real-time video forming a basis for a unified archiving and distribution system. A case study is presented for a Japanese newspaper company utilizing JPEG 2000 in their internal workflow to archive, distribute, and work more effectively. The next step is to utilize JPEG 2000 as the format to archive and distribute video. In this paper, Arch-BEAM, is introduced in detail. Arch-BEAM system is a complete: capture, encode, storage, and delivery system for real-time or on-demand streaming video. Arch-BEAM also has real-time quality of service technology for efficient bandwidth utilization, real-time error control and recovery. From Arch-BEAM, a new concept of real-time archiving and scalable distribution for video is introduced. The Arch-BEAM system allows one to monitor the capture in real time and at the same time to archive the master and distribute various lower resolutions for various clients over various networks. With more organizations adopting JPEG 2000 as a standard format of their own, interchange between organizations will be easier and support between them will multiply with enhanced resources. To simplify workflows and technical support, using JPEG 2000 is the best choice for not only from an archive point of view but for distribution as well. Adoption of JPEG 2000 in archiving will bring digital archiving and distribution to a new level."""
A. Rajasekar; R. Moore; F. Berman; B. Schottlaender,2005,Digital preservation lifecycle management for multi-media collections,"Increasingly, intellectual content is born digital."" In order to make it as easy as possible for content creators to preserve their content for the long-term, preservation processes should be integrated into the content production lifecycle. Our project takes an existing video production workflow and integrates it with a digital preservation life-cycle management process that will enable the digital content to be archived for long-term preservation. The collection, ""Conversations with History,"" is produced at the University of California, Berkeley, edited by University of California, San Diego-TV (UCSD-TV), and broadcast and Web-cast through UCTV. The proposed system will demonstrate an effective preservation methodology by demonstrating a standard reference model for digital preservation lifecycle management that can be integrated into active production workflows. © Springer-Verlag Berlin Heidelberg 2005."""
A. Ribés; F. Schmitt; R. Pillay; C. Lahanier,2005,Calibration and spectral reconstruction for CRISATEL: An art painting multispectral acquisition system,"The CRISATEL multispectral acquisition system is dedicated to the digital archiving of fine art paintings. It is composed of a dynamic lighting system and of a high resolution camera equipped with a CCD linear array, 13 interference filters and several built-in electronically controlled mechanisms. A custom calibration procedure has been designed and implemented. It allows us to select the parameters to be used for the raw image acquisition and to collect experimental data, which will be used in the post processing stage to correct the obtained multispectral images. Various techniques have been tested and compared in order to reconstruct the spectral reflectance curve of the painting surface imaged in each pixel. Realistic color rendering under any illuminant can then be obtained from this spectral reconstruction. The results obtained with the CRISATEL acquisition system and the associated multispectral image processing are shown on two art painting examples. © 2005, IS&T - The Society for Imaging Science and Technology."
A. Stanescu,2005,Assessing the durability of formats in a digital preservation environment: The INFORM methodology,"Purpose - To describe INFORM, a new methodology for investigating and measuring the risk factors of digital formats and providing guidelines for preservation action plans. Design/methodology/approach - Construction of a model which aims to discover specific threats to preservation and measure their possible impact on preservation decisions. The methodology defines: risk categories of digital formats and their dependencies; risk factors for each category; scales to measure probability of occurrence and impact; and methods to collect, report and interpret the results. Findings - While individuals are biased and subjective in their aversion to risk, collating the assessments of many individuals should generate group-consensus or group-averaged objective results. Hence, preservation plans can be based on objective analysis of risk trends instead of individuals' opinions developed in the relative isolation of their institutions. The methodology takes into consideration individuals' aversion to risk, therefore refraining from imposing specific courses of action, but simply making suggestions of possible actions. Research limitations/implications - A comprehensive approach to the format assessment must also consider, in addition to the risk factors, two other considerations, reflecting the quality of the digital format specification: significant properties of the format under consideration; the features of the format as defined in the format specification. These two aspects will be defined at a later time. Practical implications - Digital archives, institutional repositories and digital libraries can take advantage of the measurements offered by the INFORM method to select digital formats most apt for long-term viability. Moreover, by repeating the process, involved parties can detect changes in the threat model over time, to which digital collections managers can act accordingly. Originality/value - Risk management has been previously used to detect the potential of loss of web resources and has been inspirational to this author. However, this method is the first to use risk factors to measure digital preservation viability of digital formats. The results of the measurements described here can be used by: content creators and publishers, to suggest best formats to use; content curators, to restrict what is collected; content managers, to know in advance how difficult to handle a certain collection may be; and preservation planners, to define and implement preservation plans, in the form of either, migration strategies or short-term emulation solutions. © 2005 OCLC Online Computer Library Center, Inc."
A. Williamson,2005,Strategies for managing digital content formats,"Purpose - With heavy ongoing investment in the creation, storage and delivery of electronic content, it is important to consider the long-term preservation of the resources produced. Design/methodology/approach - A viewpoint paper based on extensive practitioner experience with the management of digitisation digital preservation, and quality assurance procedures. Findings - The choice of file and media formats for the content can have a significant effect on long-term access to electronic content. Practical implications - Gives some useful insights on some of the issues surrounding the choice of open or proprietary formats. The paper also examines some of the pitfalls of a proprietary approach and suggests some strategies that might be employed for managing digital content formats in the long-term. Originality/value - An attempt to provide clear, experience based strategies on how best to engage in the long-term management of digital content formats. © ."
A. Wilson,2005,A performance model and process for preserving digital records for long-term access,"The National Archives of Australia, as the archives and records authority for the Government of Australia, has a requirement to ensure that high value digital records created through the business activity of Australian Government agencies are accessible indefinitely. However, indefinite preservation is extremely difficult when dealing with digital records encoded in proprietary data formats. The National Archives of Australia's digital preservation project, which has been underway since late 2000, aims to develop a methodology for preserving digital records so they will remain accessible over time. The National Archives approach is focussed on the centrality of data formats as the key to viable long-term preservation of digital records. To implement the approach the Archives is developing or adopting a range of open data formats in XML which will be used as schema to transform original digital objects into XML data formats, a process we refer to as 'normalisation'. The first section of the paper provides the context for the NAA digital preservation project. It will discuss the policy approach developed by the National Archives and the performance model adopted. The second half of the paper will describe briefly the preservation process being trialled at the National Archives."
A. Wilson,2005,An open source tool for migrating digital records for long-term preservation,"The National Archives of Australia, as the archives and records authority for the Government of Australia, has a requirement to ensure that high value digital records created through the business activity of Australian Government agencies are accessible indefinitely. However, indefinite preservation is extremely difficult when dealing with digital records encoded in proprietary data formats. Over the last three years the National Archives of Australia has been developing an in-house digital preservation program built around the eXtensible Markup Language (XML) and open source software. This approach focuses on archival data formats as the key to ensuring long-term accessibility of 'born digital' records. To achieve its preservation objectives the National Archives is developing or adopting a range of open data formats in XML which will be used as schema to transform original digital objects into XML data formats. To support the transformation process the National Archives is developing a software application, known as 'Xena', which will carry out the transformation process, which we call 'normalisation', and will also be able to render the XML data format into a viewable 'performance' of the original digital object, when required by researchers. The paper will describe the software application being developed and tested by the National Archives."
B. Anderson,2005,Archiving the Internet,"Archiving digital information found on the Internet is a difficult but important task. This column describes various projects and initiatives that are providing long-term preservation of and access to Web-based information. © 2005 Taylor and Francis Group, LLC."
B. F. Cooper; H. Garcia-Molina,2005,InfoMonitor: Unobtrusively archiving a World Wide Web server,"It is important to provide long-term preservation of digital data even when those data are stored in an unreliable system such as a filesystem, a legacy database, or even the World Wide Web. In this paper we focus on the problem of archiving the contents of a Web site without disrupting users who maintain the site. We propose an archival storage system, the InfoMonitor, in which a reliable archive is integrated with an unmodified existing store. Implementing such a system presents various challenges related to the mismatch of features between the components such as differences in naming and data manipulation operations. We examine each of these issues as well as solutions for the conflicts that arise. We also discuss our experience using the InfoMonitor to archive the Stanford Database Group's Web site. © Springer-Verlag 2005."
B. F. Cooper; M. Bawa; N. Daswani; S. Marti; H. Garcia-Molina,2005,Authenticity and availability in PIPE networks,"We describe a system, which we call a peer-to-peer information preservation and exchange (PIPE) network, for protecting digital data collections from failure. A significant challenge in such networks is ensuring that documents are replicated and accessible despite malicious sites which may delete data, refuse to serve data, or serve an altered version of the data. We enumerate the services of PIPE networks, discuss a threat model for malicious sites, and propose basic solutions for managing these malicious sites. The basic solutions are inefficient, but demonstrate that a secure system can be built. We also sketch ways to improve efficiency. © 2004 Elsevier B.V. All rights reserved."
C. Anderson,2005,Digital preservation: Will your files stand the test of time?,"Purpose - Increasing amounts of the information in libraries are created and stored in digital formats. These files may or may not be accessible five or ten years from now. Design/methodology/approach - Describes the steps we can take to minimize the danger of losing our data to the ravages of time. The aim of this article is to look at the vulnerabilities of various file formats and storage media, and offer practical advice for preservation planning. Findings - The only protection libraries possess is planning. Originality/value - Stresses the need to have a disaster recovery plan in place. © ."
